City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,San Juan,AR,77.13,clear sky,-31.5375,-68.5364,Hotel Provincial
1,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
5,Chotila,IN,83.39,clear sky,22.4167,71.1833,Hotel Honest
6,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
9,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
10,Vicuna,CL,82.78,clear sky,-30.0319,-70.7081,Los Mosaicos
13,Sao Filipe,CV,72.0,few clouds,14.8961,-24.4956,Hotel Xaguate
19,Burriana,ES,70.95,clear sky,39.889,-0.085,Hotel Beatriz
20,Phan Thiet,VN,77.65,few clouds,10.9333,108.1,Hotel Saigon-PT
21,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
22,Huarmey,PE,73.06,broken clouds,-10.0681,-78.1522,Hotel Miramar
24,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
25,Sambava,MG,77.04,clear sky,-14.2667,50.1667,Melrose
30,Banda Aceh,ID,80.76,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
32,Vao,NC,76.37,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
33,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
35,Owo,NG,83.21,scattered clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
37,Kavieng,PG,81.37,broken clouds,-2.5744,150.7967,Nusa Island Retreat
39,Phonhong,LA,77.18,light rain,18.5007,102.4166,Manyvong Guest House
40,Arlit,NE,82.65,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
42,Daru,PG,79.11,broken clouds,-9.0763,143.2092,Daru Lodge
44,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Atuona,PF,79.2,light rain,-9.8,-139.0333,Villa Enata
46,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
49,Makakilo City,US,75.52,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Carnarvon,AU,75.27,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
57,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
58,Rikitea,PF,77.99,clear sky,-23.1203,-134.9692,People ThankYou
62,Caravelas,BR,77.63,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
66,Sompeta,IN,80.6,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
75,Touros,BR,84.78,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
79,Port Blair,IN,83.57,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
80,Ocampo,MX,81.77,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
88,Saint George,US,77.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
90,Ponta Do Sol,PT,72.72,overcast clouds,32.6667,-17.1,Hotel do Campo
91,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
92,Harper,LR,79.66,overcast clouds,4.375,-7.7169,Screensaver
94,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
100,Poso,ID,76.19,heavy intensity rain,-1.3959,120.7524,Hotel 77 Poso
102,Bugama,NG,81.64,overcast clouds,4.7341,6.8635,Johnbull polo
107,Lamu,KE,82.62,overcast clouds,-2.2717,40.902,Lamu House
113,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
114,Hilo,US,75.27,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
119,Bengkulu,ID,77.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
123,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
126,Nabire,ID,76.19,light rain,-3.3667,135.4833,Hotel Nusantara I
129,Mantena,BR,72.16,scattered clouds,-18.7817,-40.9803,Hotel Estrela De Minas
132,Butaritari,KI,80.83,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
138,Kieta,PG,78.44,light rain,-6.2167,155.6333,Uruna Bay Retreat
140,Kahului,US,73.85,light rain,20.8947,-156.47,Maui Seaside Hotel
144,Karratha,AU,82.85,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
149,Abeche,TD,88.18,scattered clouds,13.8292,20.8324,Assaleh Hamdan Haroune
150,Garissa,KE,82.0,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
151,Luwuk,ID,78.24,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
156,Sumenep,ID,79.12,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
158,Houma,US,86.02,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
159,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
162,Marhaura,IN,82.33,clear sky,25.9667,84.8667,Mishti Polutry Farm
166,Mehriz,IR,70.3,overcast clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
168,Garowe,SO,80.35,few clouds,8.4054,48.4845,Curubo Hotel
169,Dwarka,IN,80.11,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
170,San Rafael,AR,75.72,clear sky,-34.6177,-68.3301,Hotel San Rafael
173,Shushtar,IR,78.73,clear sky,32.0455,48.8567,چاپ یاس کبود
178,Porto Belo,BR,75.79,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
183,Quelimane,MZ,82.35,few clouds,-17.8786,36.8883,Hotel Flamingo
184,Cockburn Town,TC,80.56,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
202,Itarema,BR,81.34,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Mana,GF,80.83,overcast clouds,5.6592,-53.7767,LE SAMANA
207,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
208,Lorengau,PG,80.53,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
211,Kulhudhuffushi,MV,84.29,broken clouds,6.6221,73.07,Haajy Guest House 1
213,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
218,Wanning,CN,77.05,overcast clouds,18.8003,110.3967,Paradise Hotel
220,Tanhacu,BR,76.17,overcast clouds,-14.0214,-41.2481,Balneário Jurema
224,Kantang,TH,77.38,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
227,Nhamunda,BR,81.27,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
229,Rincon,US,78.76,overcast clouds,32.296,-81.2354,Days Inn Rincon
230,Kampot,KH,80.65,light rain,10.6167,104.1833,Two Moons Hotel
233,Owando,CG,77.47,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
234,Basoko,CD,72.27,broken clouds,1.2391,23.616,Jackyna Hotel
236,Faanui,PF,81.9,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
237,Ray,IN,83.17,broken clouds,23.6833,85.05,Bablu Cake Corner
238,Honolulu,US,76.82,moderate rain,21.3069,-157.8583,Aston at the Executive Centre Hotel
243,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
246,Bosaso,SO,82.35,clear sky,11.2842,49.1816,Red Sea Hotel
247,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
248,Limbdi,IN,85.66,clear sky,22.5667,71.8,LIMBDI YOGI HOTEL
249,Mayo,US,80.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
250,Sandakan,MY,80.28,few clouds,5.8402,118.1179,Hotel Sandakan
251,Abong Mbang,CM,72.54,light rain,3.9833,13.1833,Auberge Angle Sur
252,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
254,Biak,ID,76.75,overcast clouds,-0.9131,122.8766,Penginapan Kim
255,Porto Walter,BR,82.99,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
256,Victoria,HK,71.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
259,Nampula,MZ,76.95,broken clouds,-15.1165,39.2666,Ruby Backpackers
260,Paita,PE,73.35,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
262,Caborca,MX,86.11,overcast clouds,30.5838,-111.101,Hotel Los Lagos
263,Doka,SD,86.77,light rain,13.5167,35.7667,Um Rakuba Refugee Camp
264,Emilio Carranza,MX,87.57,clear sky,19.9711,-96.6114,Hotel Carranza Inn
265,Inhambane,MZ,75.18,broken clouds,-23.865,35.3833,Oceano
267,Thoen,TH,81.37,overcast clouds,17.6129,99.2161,บ้านห้องนอน
270,Pundaguitan,PH,80.89,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
272,Wamba,NG,85.12,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
273,Bam,IR,78.64,overcast clouds,29.106,58.357,Bam Tourist Hotel
274,Cabo San Lucas,MX,88.9,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
280,Namibe,AO,75.02,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
281,Isangel,VU,80.35,clear sky,-19.55,169.2667,Tanna Lodge
282,Kindu,CD,70.21,overcast clouds,-2.95,25.95,Résidence Okanda
283,Tahoua,NE,88.12,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
284,Alofi,NU,78.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
294,Bambanglipuro,ID,76.98,scattered clouds,-7.95,110.2833,Puri Brata
299,Dingle,PH,75.6,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
304,Juarez,MX,83.21,broken clouds,31.7333,-106.4833,Hotel Santa Fe
305,Chivilcoy,AR,74.12,clear sky,-34.8957,-60.0167,Chivilrent
307,Atar,MR,87.64,clear sky,20.5169,-13.0499,Oumou Elghoura
308,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
310,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
311,Otukpo,NG,83.23,overcast clouds,7.1913,8.1329,Queen s Hotel
317,Matara,LK,79.7,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
319,Freeport,US,71.11,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
323,Jalu,LY,79.11,broken clouds,29.0331,21.5482,صاحبة الفخامة
324,Batticaloa,LK,79.97,broken clouds,7.7102,81.6924,Grand Star Guest House
327,Sainte-Marie,RE,77.16,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
332,Mitsamiouli,KM,82.36,scattered clouds,-11.3847,43.2844,Foyer ADM
337,Raha,IN,74.77,clear sky,26.2333,92.5167,"Greedy, Brainless Rent House ( অহংকাৰী, প‌ইচাখকুৱা ভাড়াঘৰ)"
341,Conde,BR,85.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
344,Bireun,ID,79.79,broken clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
347,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
350,Terenos,BR,82.11,clear sky,-20.4422,-54.8603,Rancho Pitzer
352,Humble,US,83.08,overcast clouds,29.9988,-95.2622,Ramada by Wyndham Houston Intercontinental Airport East
353,Maceio,BR,87.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
361,Casablanca,MA,71.82,clear sky,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
364,Bacolod,PH,77.79,broken clouds,10.6667,122.95,Planta Hotel & Residences
365,Auki,SB,77.43,overcast clouds,-8.7676,160.7034,Auki Motel
366,Champerico,GT,88.16,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
368,Gemena,CD,74.5,broken clouds,3.25,19.7667,Hôtel Goshen
369,Alexandria,EG,73.36,clear sky,31.2156,29.9553,Royal Crown Hotel
374,Bol,TD,86.5,few clouds,13.4586,14.7147,Harrouni camp de passage
382,Kavaratti,IN,83.53,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
388,Tabou,CI,79.9,overcast clouds,4.423,-7.3528,hotêl doufoulougou
390,Tecolutla,MX,89.46,few clouds,20.4833,-97.0167,Hotel Plaza Marsol
391,Murgud,IN,75.16,few clouds,16.4,74.2,Bharmal residency
392,Ilebo,CD,72.75,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
393,Guarapari,BR,76.89,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
394,Hambantota,LK,80.53,scattered clouds,6.1241,81.1185,Bungalow 63
395,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
396,Moerai,PF,79.56,scattered clouds,-22.4333,-151.3333,Le Manotel
398,Singkang,MY,74.61,broken clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
399,Samarai,PG,79.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
401,Ambilobe,MG,73.47,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
403,Kathu,TH,87.75,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
405,Hualmay,PE,70.88,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
408,Vangaindrano,MG,74.43,broken clouds,-23.35,47.6,Hotel Fanilo
409,Moctezuma,MX,89.55,overcast clouds,29.8,-109.6667,Hotel Lobohombo
410,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
411,Gigmoto,PH,78.03,overcast clouds,13.7796,124.39,Cj's Travellers Inn
416,Saint-Paul,RE,77.11,light rain,-21.0096,55.2707,Boucan Canot
417,Brigantine,US,74.19,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
418,Bandarbeyla,SO,81.99,few clouds,9.4942,50.8122,JABIR HOTEL
421,Murfreesboro,US,71.6,scattered clouds,35.8456,-86.3903,"Holiday Inn Express Murfreesboro Central, an IHG Hotel"
422,Santa Cruz De La Palma,ES,70.14,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
425,Neuquen,AR,71.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
427,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
428,Loa Janan,ID,72.79,overcast clouds,-0.583,117.095,Kost bu jono
429,Princeton,US,85.01,scattered clouds,25.5384,-80.4089,American Best Inn
433,Tamboril,DO,86.77,broken clouds,19.4854,-70.611,Camp David Ranch Restaurant
434,Tamandare,BR,82.09,clear sky,-8.7597,-35.1047,Pousada 100 Passos
435,Elizabeth City,US,74.05,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
437,Alice Springs,AU,72.95,few clouds,-23.7,133.8833,Desert Palms Alice Springs
438,Batalha,BR,87.55,scattered clouds,-9.6778,-37.1247,Pousada Solar do Sertão
441,Talara,PE,83.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
446,Vanimo,PG,77.14,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
448,Xuddur,SO,80.58,overcast clouds,4.1213,43.8894,Banjanay Hotel
449,Pimentel,PE,73.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
451,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
454,Rio Grande,BR,77.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
457,Teahupoo,PF,78.76,few clouds,-17.8333,-149.2667,Vanira Lodge
462,Cairns,AU,71.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
463,Vaitape,PF,81.86,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
464,Kudahuvadhoo,MV,83.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
471,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
474,Ilhabela,BR,71.47,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
477,Bontang,ID,75.27,heavy intensity rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
480,Tual,ID,83.12,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
483,Moindou,NC,73.22,clear sky,-21.6924,165.677,Equi-lodge de Moindou
487,Guantanamo,CU,80.17,overcast clouds,20.1444,-75.2092,Hotel Guantánamo
497,Hobyo,SO,82.89,broken clouds,5.3505,48.5268,Iftin hotel hobyo
500,Quatre Cocos,MU,78.91,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
501,Bo Rai,TH,76.5,broken clouds,12.5728,102.5371,Baiboon Resort
502,Buin,CL,75.52,clear sky,-33.7333,-70.75,Paihuen
503,Port Maria,JM,88.05,scattered clouds,18.3685,-76.8895,Galina Breeze Hotel
504,Petersburg,US,78.58,scattered clouds,37.2279,-77.4019,Hilton Garden Inn Richmond South/Southpark
510,Callaway,US,82.96,overcast clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
511,Missao Velha,BR,88.29,few clouds,-7.2497,-39.1431,Pousada Sol Nascente PRIME
514,Cap Malheureux,MU,77.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
518,Nueve De Julio,AR,73.11,broken clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
526,Pandan,PH,77.29,overcast clouds,14.0453,124.1694,Bonifacio Lodge
534,Pineville,US,82.29,overcast clouds,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
535,Mogadishu,SO,82.63,overcast clouds,2.0371,45.3438,Hotel Juba
536,Namatanai,PG,78.91,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
540,Quepos,CR,84.7,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
543,Lebanon,US,71.46,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
544,Abnub,EG,86.22,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
548,Laguna De Perlas,NI,86.09,overcast clouds,12.3429,-83.6712,Hotel Best View
550,Huntsville,US,70.95,few clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
554,Trairi,BR,80.28,overcast clouds,-3.2778,-39.2689,janelas do mar
559,Sumbe,AO,77.45,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
563,La Orilla,MX,83.73,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
568,Qui Nhon,VN,74.89,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
570,Taganak,PH,80.74,broken clouds,6.0833,118.3,Taganak
571,Alta Floresta,BR,78.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
576,Wajir,KE,88.7,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
577,Gizo,SB,81.43,light rain,-8.103,156.8419,Imagination Island
581,Conceicao Do Araguaia,BR,85.42,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
584,Ibra,OM,83.03,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
586,Sidrolandia,BR,76.69,clear sky,-20.9319,-54.9614,Agropet São Francisco
587,Kokoda,PG,73.87,overcast clouds,-8.8785,147.7407,Daito Guest House
588,Kalmunai,LK,79.5,broken clouds,7.4167,81.8167,VS Villa
591,Gouyave,GD,83.17,scattered clouds,12.1646,-61.7296,Rumboat Retreat
592,Moa,CU,77.86,overcast clouds,20.6569,-74.9403,Carmen
596,Puerto Leguizamo,CO,84.79,overcast clouds,-0.1934,-74.7819,la casona de juancho
598,Alyangula,AU,75.07,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
600,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
605,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
610,Waingapu,ID,79.03,light rain,-9.6567,120.2641,Pondok Wisata Elim
616,Kendari,ID,75.79,broken clouds,-3.945,122.4989,Hotel Wixel
617,Eyl,SO,81.55,clear sky,7.9803,49.8164,Amiin Hotel
618,Baringo,KE,71.89,moderate rain,0.4667,35.9667,Khoisang Hostels
619,Sur,OM,86.94,clear sky,22.5667,59.5289,Sur Plaza Hotel
621,Arrecife,ES,71.58,clear sky,28.963,-13.5477,Hotel Lancelot
623,San Javier,ES,73.22,clear sky,37.8063,-0.8374,Hotel Mar Menor
626,El Paujil,CO,80.87,light rain,1.5701,-75.3286,Hostal La Reina
630,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
633,Nawa,IN,82.94,clear sky,27.0167,75.0,"Sambharia Bhawan,Kuchaman Road,Nawa City"
637,San Lorenzo,PY,77.94,clear sky,-25.3333,-57.5333,Canarias Hotel
640,Belmonte,BR,75.92,heavy intensity rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
643,Kununurra,AU,75.18,few clouds,-15.7667,128.7333,Hotel Kununurra
646,Sakakah,SA,74.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
648,Lindi,TZ,73.69,few clouds,-10.0,39.7167,Lindi paradise house
650,Samarinda,ID,72.82,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
651,Jardim,BR,80.4,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
652,Beeville,US,89.62,overcast clouds,28.4008,-97.7483,"Holiday Inn Express & Suites Beeville, an IHG Hotel"
654,Doctor Arroyo,MX,89.22,clear sky,23.6667,-100.1833,Hotel Plaza
656,Bubaque,GW,75.72,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
657,Altos,BR,79.11,overcast clouds,-5.0381,-42.46,Pousada Das Aguias
658,Buraydah,SA,81.05,clear sky,26.326,43.975,Mövenpick Qassim
660,Carepa,CO,78.58,broken clouds,7.7585,-76.6525,HOTEL EL EDÉN
663,Seguin,US,87.08,haze,29.5688,-97.9647,La Quinta Inn & Suites by Wyndham Seguin
667,Boyolangu,ID,76.44,overcast clouds,-8.1181,111.8935,Yos ega cv
668,Midland,US,79.12,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
679,Kloulklubed,PW,82.11,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
